,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
502,"Macoupin County, IL",2023,17117.0,8,0,0,0,75.90974267320252,64.05641581365312
503,"Macoupin County, IL",2024,17117.0,2,0,0,0,76.20870097231023,64.8680375673039
504,"Madison County, IL",2016,17119.0,2,7,0,0,78.23855370707915,68.1717674305799
505,"Madison County, IL",2017,17119.0,1,3,0,0,76.02638061178118,64.66604315404423
506,"Madison County, IL",2018,17119.0,0,0,0,0,77.52739036033094,67.3649066937033
507,"Madison County, IL",2019,17119.0,0,0,0,0,76.36967596367603,65.97451745954405
508,"Madison County, IL",2020,17119.0,0,0,0,0,76.98638203736468,66.35129656908423
509,"Madison County, IL",2021,17119.0,0,0,0,0,77.40863251769697,67.51979323422383
510,"Madison County, IL",2022,17119.0,3,0,0,0,77.30421145745999,66.72837395638729
511,"Madison County, IL",2023,17119.0,8,0,0,0,76.59989647212345,65.52206549606099
512,"Madison County, IL",2024,17119.0,2,0,0,0,76.8379232498867,66.11101799061844
513,"Marion County, IL",2016,17121.0,2,5,0,0,78.15067952288601,68.21583346954543
514,"Marion County, IL",2017,17121.0,1,2,0,0,75.71099332939193,64.71215527935215
515,"Marion County, IL",2018,17121.0,0,0,0,0,77.44209088172808,67.37653834624304
516,"Marion County, IL",2019,17121.0,1,2,0,0,76.31397960040952,65.8263986724913
517,"Marion County, IL",2020,17121.0,1,1,0,0,76.75844830178391,66.40610187622312
518,"Marion County, IL",2021,17121.0,0,0,0,0,77.30299994821203,67.5437091933402
519,"Marion County, IL",2022,17121.0,3,0,0,0,77.1707735643799,66.54959558588477
520,"Marion County, IL",2023,17121.0,8,0,0,0,76.3274055772387,65.37240869829067
521,"Marion County, IL",2024,17121.0,1,0,0,0,76.56706176725656,65.58922012959559
522,"Marshall County, IL",2016,17123.0,2,4,0,0,75.75688428004966,64.84669067907495
523,"Marshall County, IL",2017,17123.0,0,0,0,0,73.5298741810969,61.148907310115945
524,"Marshall County, IL",2018,17123.0,2,2,0,0,75.82014725277114,64.1137154840448
525,"Marshall County, IL",2019,17123.0,1,3,0,0,74.37954246560658,62.827166251657
526,"Marshall County, IL",2020,17123.0,0,0,0,0,75.2947800216051,63.813186082543524
527,"Marshall County, IL",2021,17123.0,0,0,0,0,75.43129353548692,64.55639843938067
528,"Marshall County, IL",2022,17123.0,1,0,0,0,74.62023468133678,62.92961210844396
529,"Marshall County, IL",2023,17123.0,3,2,0,0,73.83862153776518,61.75132131865171
530,"Marshall County, IL",2024,17123.0,2,0,0,0,74.35584443907587,63.24535909021251
531,"Mason County, IL",2016,17125.0,3,7,0,0,77.05880818252945,65.96017738952695
532,"Mason County, IL",2017,17125.0,1,3,0,0,74.96453144628042,62.07190015549042
533,"Mason County, IL",2018,17125.0,2,2,0,0,76.87990065552391,65.14431262160205
534,"Mason County, IL",2019,17125.0,1,2,0,0,75.45079860021728,63.77660142773609
535,"Mason County, IL",2020,17125.0,0,0,0,0,76.20493198993792,64.19227415810316
536,"Mason County, IL",2021,17125.0,1,0,0,0,76.70888343428258,65.30522341037455
537,"Mason County, IL",2022,17125.0,3,0,0,0,75.98801954968873,64.00071861658147
538,"Mason County, IL",2023,17125.0,6,3,0,0,75.1308465663343,62.812779970228526
539,"Mason County, IL",2024,17125.0,2,0,0,0,75.57744197104577,64.02149966100967
540,"Massac County, IL",2016,17127.0,1,1,0,0,79.63721045437494,70.8423088783461
541,"Massac County, IL",2017,17127.0,0,0,0,0,76.8645850473278,66.97923411813308
542,"Massac County, IL",2018,17127.0,1,5,0,0,78.66353149492625,69.4052703878136
543,"Massac County, IL",2019,17127.0,0,0,0,0,77.42125149947468,67.70257222536488
