County,FIPS,Total HI Days above 90 (Day),Total HI Hours above 90 (Hr),Total HI Days above 104 (Day),Total HI Hours above 104 (Hour),2016-2025 HI Avg. Days above 90 (Day),2016-2025 HI Avg. Hours above 90 (Hr),2016-2025 HI Avg. Days above 104 (Day),2016-2025 HI Avg. Hours above 104 (Hour),2016-2025 HI JJA Daily Av. High (F),2016-2025 HI JJA Daily Av. Low (F),HI 2016-2025 Record Max,HI 2016-2025 Record Date
"Clay County, IL",17025.0,464,3293,36,151,51.44444444444444,365.3333333333333,4.0,16.77777777777778,89.64290335988399,69.27507758186647,115.10542468083062,2024-08-31
"Clinton County, IL",17027.0,491,3672,52,199,54.44444444444444,407.44444444444446,5.777777777777778,22.11111111111111,90.34599364752748,70.07605423933241,115.53322085288129,2024-08-31
"Coles County, IL",17029.0,349,2257,22,90,38.666666666666664,250.11111111111111,2.4444444444444446,10.0,87.26963739648636,67.07923681434103,115.11749654007733,2024-08-31
"Cook County, IL",17031.0,143,779,7,28,15.88888888888889,86.55555555555556,0.7777777777777778,3.111111111111111,81.55828479353207,65.043188090749,112.9630360243737,2024-08-31
"Crawford County, IL",17033.0,408,2835,27,109,45.22222222222222,314.44444444444446,3.0,12.11111111111111,88.7068498040603,68.32538381746062,116.50414202143502,2024-08-31
"Cumberland County, IL",17035.0,395,2609,27,110,43.77777777777778,289.3333333333333,3.0,12.222222222222221,88.17933404974609,67.76183890937119,116.02649207007777,2024-08-31
"Dekalb County, IL",17037.0,200,1218,14,61,22.11111111111111,135.0,1.5555555555555556,6.777777777777778,83.76963514901598,63.78206044710595,116.2872207495642,2024-08-31
"Dewitt County, IL",17039.0,307,2024,23,105,34.0,224.11111111111111,2.5555555555555554,11.666666666666666,86.60417729107124,66.07319992775159,118.85099455462031,2024-08-31
"Douglas County, IL",17041.0,335,2184,22,93,37.111111111111114,241.88888888888889,2.4444444444444446,10.333333333333334,87.12972611210039,66.56267670887325,114.82300391620764,2024-08-31
"Dupage County, IL",17043.0,203,1279,17,68,22.444444444444443,141.77777777777777,1.8888888888888888,7.555555555555555,83.64230617003257,64.30122041535215,116.77422508419272,2024-08-31
"Edgar County, IL",17045.0,333,2148,22,81,36.888888888888886,237.88888888888889,2.4444444444444446,9.0,87.11320764878265,66.8434374441885,113.90866633889752,2024-08-31
"Edwards County, IL",17047.0,490,3512,35,142,54.333333333333336,389.77777777777777,3.888888888888889,15.777777777777779,90.07311590774248,69.8218342707952,115.71550434108444,2024-08-31
"Effingham County, IL",17049.0,429,2912,28,122,47.55555555555556,323.0,3.111111111111111,13.555555555555555,88.80628613681789,68.40078667378074,115.71854554698967,2024-08-31
"Fayette County, IL",17051.0,435,3057,30,136,48.22222222222222,339.1111111111111,3.3333333333333335,15.11111111111111,89.14244017237796,68.6552652968329,115.88421548976144,2024-08-31
"Ford County, IL",17053.0,284,1759,20,81,31.444444444444443,194.66666666666666,2.2222222222222223,9.0,86.03039795127752,65.5393239469389,121.31498048786764,2024-08-31
"Franklin County, IL",17055.0,531,4074,55,221,58.888888888888886,452.22222222222223,6.111111111111111,24.555555555555557,91.06989704097964,71.18363252443126,114.02358434437146,2024-08-31
"Fulton County, IL",17057.0,365,2485,38,173,40.44444444444444,275.55555555555554,4.222222222222222,19.22222222222222,87.83998247093346,66.55093979750333,118.4907080147932,2024-08-31
"Gallatin County, IL",17059.0,536,3982,44,178,59.44444444444444,442.22222222222223,4.888888888888889,19.77777777777778,90.98576669144416,70.57534100046969,114.02111454873372,2024-08-31
"Greene County, IL",17061.0,428,3079,42,199,47.44444444444444,341.55555555555554,4.666666666666667,22.11111111111111,89.17165108075098,68.08423746778887,116.24371646506007,2024-08-31
"Grundy County, IL",17063.0,266,1655,20,89,29.444444444444443,183.33333333333334,2.2222222222222223,9.88888888888889,85.45505290823094,65.16595822077085,119.31119338051867,2024-08-31
"Hamilton County, IL",17065.0,520,3864,48,185,57.666666666666664,428.8888888888889,5.333333333333333,20.555555555555557,90.79967867630428,70.2876222476027,114.35011280004196,2024-08-31
"Hancock County, IL",17067.0,398,2766,37,177,44.111111111111114,306.8888888888889,4.111111111111111,19.666666666666668,88.4622708136167,67.35138429223902,116.19700444014654,2024-08-31
"Hardin County, IL",17069.0,559,4069,47,177,62.111111111111114,452.1111111111111,5.222222222222222,19.666666666666668,91.11235640638888,70.70273890142708,114.5662113217314,2024-08-31
"Henderson County, IL",17071.0,358,2409,28,137,39.666666666666664,267.1111111111111,3.111111111111111,15.222222222222221,87.48245275393677,66.69081053868173,116.65181104952566,2024-08-31
"Henry County, IL",17073.0,280,1834,20,97,31.0,203.22222222222223,2.2222222222222223,10.777777777777779,85.95488757504248,65.53318208490334,117.2190255353134,2024-08-31
"Iroquois County, IL",17075.0,277,1714,16,70,30.666666666666668,189.66666666666666,1.7777777777777777,7.777777777777778,85.89228643849447,65.40730579694922,121.02340093681984,2024-08-31
"Jackson County, IL",17077.0,530,4094,59,249,58.77777777777778,454.55555555555554,6.555555555555555,27.666666666666668,91.20722370256748,70.70849166819029,113.91798146430348,2024-08-31
"Jasper County, IL",17079.0,420,2875,30,114,46.55555555555556,318.8888888888889,3.3333333333333335,12.666666666666666,88.80808674923321,68.2769279364486,116.09085977335158,2024-08-31
"Jefferson County, IL",17081.0,497,3733,46,180,55.111111111111114,414.3333333333333,5.111111111111111,20.0,90.4570892965122,70.37493751921004,114.1218658337176,2024-08-31
"Jersey County, IL",17083.0,465,3403,50,228,51.55555555555556,377.55555555555554,5.555555555555555,25.333333333333332,89.74884435720327,69.06036132559167,117.11064753478333,2024-08-31
"Jo Daviess County, IL",17085.0,186,1072,11,47,20.555555555555557,118.88888888888889,1.2222222222222223,5.222222222222222,83.59481708105973,63.62289988460173,119.85466385688392,2024-08-31
"Johnson County, IL",17087.0,562,4068,49,193,62.44444444444444,452.0,5.444444444444445,21.444444444444443,91.14931677144696,70.769196448734,115.87326043304589,2024-08-31
"Kane County, IL",17089.0,197,1179,14,55,21.77777777777778,130.77777777777777,1.5555555555555556,6.111111111111111,83.49008301632026,63.801432163150885,116.15269377499172,2024-08-31
"Kankakee County, IL",17091.0,266,1637,16,74,29.444444444444443,181.22222222222223,1.7777777777777777,8.222222222222221,85.44511390762723,65.13597615276151,119.38013707782792,2024-08-31
"Kendall County, IL",17093.0,231,1452,17,79,25.555555555555557,160.88888888888889,1.8888888888888888,8.777777777777779,84.68716821345127,64.64072584746629,117.71018099613798,2024-08-31
"Knox County, IL",17095.0,310,2046,27,115,34.333333333333336,226.77777777777777,3.0,12.777777777777779,86.56670153778141,65.85877601278766,117.43390050723788,2024-08-31
"Lake County, IL",17097.0,45,231,2,10,5.0,25.666666666666668,0.2222222222222222,1.1111111111111112,77.8240387440467,64.60487788464587,109.17372768338052,2024-08-31
"Lasalle County, IL",17099.0,261,1630,20,95,28.88888888888889,180.44444444444446,2.2222222222222223,10.555555555555555,85.37879854748353,64.99201875462059,118.33711107803911,2024-08-31
"Lawrence County, IL",17101.0,450,3110,27,122,49.888888888888886,345.1111111111111,3.0,13.555555555555555,89.31110194603589,69.06685623614162,115.9081162671416,2024-08-31
"Lee County, IL",17103.0,224,1375,17,76,24.77777777777778,152.44444444444446,1.8888888888888888,8.444444444444445,84.49350314158177,64.298794912464,116.9204101538266,2024-08-31
"Livingston County, IL",17105.0,276,1765,20,86,30.555555555555557,195.33333333333334,2.2222222222222223,9.555555555555555,85.94424272068728,65.42588557832218,120.26694820175288,2024-08-31
"Logan County, IL",17107.0,348,2366,34,158,38.55555555555556,262.1111111111111,3.7777777777777777,17.555555555555557,87.48646437717727,66.33307622529583,119.56299207490036,2024-08-31
"Macon County, IL",17115.0,344,2288,26,117,38.111111111111114,253.44444444444446,2.888888888888889,13.0,87.21794338126385,66.5686704393112,116.87227638796718,2024-08-31
"Macoupin County, IL",17117.0,420,2947,36,162,46.55555555555556,326.8888888888889,4.0,18.0,88.90593366604739,68.03990014076187,116.26473685183645,2024-08-31
"Madison County, IL",17119.0,489,3564,52,207,54.22222222222222,395.44444444444446,5.777777777777778,23.0,90.0663175727947,69.56017023081611,115.75731260420856,2024-08-31
"Marion County, IL",17121.0,474,3428,39,161,52.55555555555556,380.44444444444446,4.333333333333333,17.88888888888889,89.86740418052077,69.67817497079216,114.81255506142128,2024-08-31
"Marshall County, IL",17123.0,286,1852,23,109,31.666666666666668,205.11111111111111,2.5555555555555554,12.11111111111111,86.1491891338311,65.82250680904986,118.9096917797378,2024-08-31
"Mason County, IL",17125.0,381,2623,43,190,42.22222222222222,290.77777777777777,4.777777777777778,21.11111111111111,88.20508958099215,66.79578869676992,119.64904207324147,2024-08-31
"Massac County, IL",17127.0,600,4532,47,209,66.66666666666667,503.55555555555554,5.222222222222222,23.22222222222222,91.79151130233436,71.42869975508484,113.31699412646326,2024-08-31
"Mcdonough County, IL",17109.0,376,2559,36,173,41.666666666666664,283.77777777777777,4.0,19.22222222222222,87.9426466848059,66.59408477520235,117.05334061125257,2024-08-31
"Mchenry County, IL",17111.0,167,963,11,47,18.444444444444443,106.88888888888889,1.2222222222222223,5.222222222222222,82.40666279308536,63.43647825928727,114.73780010585038,2024-08-31
"Mclean County, IL",17113.0,291,1867,24,91,32.22222222222222,206.66666666666666,2.6666666666666665,10.11111111111111,86.22044653074474,65.733071813272,120.27042866783697,2024-08-31
"Menard County, IL",17129.0,388,2653,38,188,43.0,294.1111111111111,4.222222222222222,20.88888888888889,88.27312684485928,66.80099879373307,118.82798244545724,2024-08-31
"Mercer County, IL",17131.0,320,2100,27,117,35.44444444444444,232.77777777777777,3.0,13.0,86.66820622534287,66.2207212028317,116.54089385984508,2024-08-31
"Monroe County, IL",17133.0,526,3977,63,267,58.333333333333336,441.44444444444446,7.0,29.666666666666668,90.93555747444704,70.2615784824014,119.13851105378706,2024-08-31
"Montgomery County, IL",17135.0,408,2870,31,136,45.22222222222222,318.3333333333333,3.4444444444444446,15.11111111111111,88.69785419470254,68.00474533956036,116.00173267267392,2024-08-31
"Morgan County, IL",17137.0,403,2797,33,173,44.666666666666664,310.22222222222223,3.6666666666666665,19.22222222222222,88.62277610882913,67.3091431984149,119.00154498807164,2024-08-31
"Moultrie County, IL",17139.0,351,2314,22,102,38.888888888888886,256.44444444444446,2.4444444444444446,11.333333333333334,87.32463348817232,66.96231040375869,115.3918506065041,2024-08-31
"Ogle County, IL",17141.0,206,1209,13,58,22.77777777777778,134.11111111111111,1.4444444444444444,6.444444444444445,83.91102126666294,63.933026971923695,116.75033002888424,2024-08-31
"Peoria County, IL",17143.0,314,2079,31,129,34.77777777777778,230.33333333333334,3.4444444444444446,14.333333333333334,86.7186201162548,66.24630756991716,119.11052600928802,2024-08-31
"Perry County, IL",17145.0,532,4082,60,256,59.0,453.1111111111111,6.666666666666667,28.444444444444443,91.10002055169812,70.7588609213547,114.07259873596088,2024-08-31
"Piatt County, IL",17147.0,317,2057,22,102,35.111111111111114,227.77777777777777,2.4444444444444446,11.333333333333334,86.7816406252502,66.24045342334817,117.0614371974827,2024-08-31
"Pike County, IL",17149.0,430,3050,42,204,47.666666666666664,338.55555555555554,4.666666666666667,22.666666666666668,89.18306915707218,67.99773335188597,115.47692657324154,2024-08-31
"Pope County, IL",17151.0,570,4134,47,187,63.333333333333336,459.3333333333333,5.222222222222222,20.77777777777778,91.26257395780814,70.82833337388342,113.46039741373684,2024-08-31
"Pulaski County, IL",17153.0,593,4615,61,243,65.88888888888889,512.7777777777778,6.777777777777778,27.0,91.89959510979328,71.63603235659056,114.3128273951646,2024-08-31
"Putnam County, IL",17155.0,268,1760,21,103,29.666666666666668,195.0,2.3333333333333335,11.444444444444445,85.81803343976839,65.49111558562308,118.4028031057473,2024-08-31
"Randolph County, IL",17157.0,529,4051,61,270,58.666666666666664,449.6666666666667,6.777777777777778,30.0,91.15639658954508,70.36094347817928,115.54570528565714,2024-08-31
"Richland County, IL",17159.0,465,3282,33,135,51.55555555555556,364.1111111111111,3.6666666666666665,15.0,89.62782105606918,69.27513538723557,115.48238445213208,2024-08-31
"Rock Island County, IL",17161.0,283,1889,22,104,31.333333333333332,209.33333333333334,2.4444444444444446,11.555555555555555,86.06533934735106,65.80606666656911,117.3675859236556,2024-08-31
"Saline County, IL",17165.0,539,4018,51,189,59.77777777777778,446.22222222222223,5.666666666666667,21.0,91.03827665082216,70.631475037095,113.19814698298748,2024-08-31
"Sangamon County, IL",17167.0,381,2625,35,171,42.22222222222222,291.0,3.888888888888889,19.0,88.1504776120861,66.97540495909493,118.10268800755524,2024-08-31
"Schuyler County, IL",17169.0,394,2753,40,189,43.666666666666664,305.3333333333333,4.444444444444445,21.0,88.48986669478688,67.0574264879558,116.7277546380422,2024-08-31
"Scott County, IL",17171.0,418,2950,39,188,46.333333333333336,327.22222222222223,4.333333333333333,20.88888888888889,88.95860064658709,67.66255846767035,116.74855868287624,2024-08-31
"Shelby County, IL",17173.0,381,2594,25,114,42.22222222222222,287.55555555555554,2.7777777777777777,12.666666666666666,88.02523173012905,67.56932584468262,116.09390455161947,2024-08-31
"St. Clair County, IL",17163.0,521,3963,63,252,57.77777777777778,439.77777777777777,7.0,28.0,90.85645542094596,70.24966565710514,116.34479462504711,2024-08-31
"Stark County, IL",17175.0,284,1841,22,104,31.444444444444443,204.0,2.4444444444444446,11.555555555555555,86.0292747204995,65.66574090737201,117.56296539353032,2024-08-31
"Stephenson County, IL",17177.0,187,1064,11,48,20.666666666666668,118.11111111111111,1.2222222222222223,5.333333333333333,83.40673158320992,63.37597735588078,116.66935376763576,2024-08-31
"Tazewell County, IL",17179.0,321,2156,32,139,35.55555555555556,238.88888888888889,3.5555555555555554,15.444444444444445,87.0230875688468,66.24755251914132,120.37128289620968,2024-08-31
"Union County, IL",17181.0,556,4142,55,219,61.77777777777778,460.22222222222223,6.111111111111111,24.333333333333332,91.3222256985483,70.6827292399217,117.56552010137833,2024-08-31
"Vermilion County, IL",17183.0,300,1849,18,71,33.22222222222222,204.77777777777777,2.0,7.888888888888889,86.39662282875062,66.02888142133388,117.81341145687294,2024-08-31
"Wabash County, IL",17185.0,480,3401,32,138,53.22222222222222,377.44444444444446,3.5555555555555554,15.333333333333334,89.86324008692966,69.70661931782182,115.9702972982907,2024-08-31
"Warren County, IL",17187.0,336,2231,27,126,37.22222222222222,247.33333333333334,3.0,14.0,87.00668841908133,66.11150130647871,116.98958654275464,2024-08-31
"Washington County, IL",17189.0,512,3902,59,223,56.77777777777778,433.0,6.555555555555555,24.77777777777778,90.75777306085098,70.4221925872337,114.7098476956964,2024-08-31
"Wayne County, IL",17191.0,498,3618,42,162,55.22222222222222,401.55555555555554,4.666666666666667,18.0,90.31113751508022,69.69956823965155,115.14965454613797,2024-08-31
"White County, IL",17193.0,520,3792,44,163,57.666666666666664,420.8888888888889,4.888888888888889,18.11111111111111,90.64997999506257,70.15744467122573,115.34581527647734,2024-08-31
"Whiteside County, IL",17195.0,257,1621,18,96,28.444444444444443,179.55555555555554,2.0,10.666666666666666,85.40911762286366,64.95810163280912,118.20941023679065,2024-08-31
"Will County, IL",17197.0,239,1471,17,78,26.444444444444443,162.88888888888889,1.8888888888888888,8.666666666666666,84.66426957650202,64.93697991708707,118.14580367353332,2024-08-31
"Williamson County, IL",17199.0,539,4092,55,207,59.77777777777778,454.44444444444446,6.111111111111111,23.0,91.09401553227336,70.94838705010345,114.70851097974918,2024-08-31
"Winnebago County, IL",17201.0,192,1126,13,55,21.22222222222222,124.88888888888889,1.4444444444444444,6.111111111111111,83.48807844391334,63.49314189117695,116.32081991149656,2024-08-31
"Woodford County, IL",17203.0,290,1888,23,101,32.111111111111114,209.0,2.5555555555555554,11.222222222222221,86.24004553767834,65.77851809611356,119.55025750655528,2024-08-31
