,County,Year,FIPS,HI Days above 90,HI Hours above 90,HI Days above 104,HI Hours above 104,HI JJA Av. Daily High,HI JJA Av. Daily Low
62,"Calhoun County, IL",2024,17013.0,45,324,7,21,89.26295943552384,68.2767440128209
63,"Carroll County, IL",2016,17015.0,23,137,2,8,85.01912769385282,65.59424914344895
64,"Carroll County, IL",2017,17015.0,18,84,0,0,81.7287035563883,61.804952307287024
65,"Carroll County, IL",2018,17015.0,32,194,1,5,84.46379995955088,64.75895596898664
66,"Carroll County, IL",2019,17015.0,24,143,2,6,83.6609637322124,63.89086465693139
67,"Carroll County, IL",2020,17015.0,27,159,0,0,85.83606605861515,65.05452012954126
68,"Carroll County, IL",2021,17015.0,31,152,1,3,85.96074156729965,65.48029839501311
69,"Carroll County, IL",2022,17015.0,19,121,3,1,83.75541884196359,63.917496446050635
70,"Carroll County, IL",2023,17015.0,17,128,3,24,84.3781279936192,62.9350452936683
71,"Carroll County, IL",2024,17015.0,23,132,2,12,83.8860208026938,63.91035805306901
72,"Cass County, IL",2016,17017.0,59,414,6,28,91.03593635985136,69.46051948005604
73,"Cass County, IL",2017,17017.0,39,244,4,12,87.44863030342475,65.07040138984661
74,"Cass County, IL",2018,17017.0,62,452,4,16,89.95327372520336,68.20084615175371
75,"Cass County, IL",2019,17017.0,47,296,3,8,87.45098701215029,67.19119028850253
76,"Cass County, IL",2020,17017.0,40,275,1,3,88.53919911364642,67.2627627913232
77,"Cass County, IL",2021,17017.0,43,291,5,16,89.09155378420328,67.90873399521149
78,"Cass County, IL",2022,17017.0,38,309,5,31,88.61613342593473,67.13248492839296
79,"Cass County, IL",2023,17017.0,37,278,7,64,88.23228334341034,66.0364142156628
80,"Cass County, IL",2024,17017.0,43,305,4,19,88.39119434600235,66.96179409656074
81,"Champaign County, IL",2016,17019.0,43,234,2,7,87.73356778210643,67.51478643316209
82,"Champaign County, IL",2017,17019.0,33,165,0,0,85.63142764672948,64.73268409434577
83,"Champaign County, IL",2018,17019.0,46,313,1,2,87.32868335730795,67.14074243536903
84,"Champaign County, IL",2019,17019.0,32,200,3,13,86.00407038908811,65.68159204107937
85,"Champaign County, IL",2020,17019.0,28,174,0,0,86.92736845113339,66.69446027794436
86,"Champaign County, IL",2021,17019.0,35,212,2,5,87.0316033430243,66.99871876961346
87,"Champaign County, IL",2022,17019.0,33,258,3,16,87.1419817127171,66.55843675659557
88,"Champaign County, IL",2023,17019.0,22,174,5,32,85.47923851305909,64.18841128016312
89,"Champaign County, IL",2024,17019.0,28,188,2,11,85.32067428939162,64.6114452443355
90,"Christian County, IL",2016,17021.0,51,355,3,14,89.70228910853726,68.94724245757934
91,"Christian County, IL",2017,17021.0,39,230,2,5,87.20529403035488,65.64359834814975
92,"Christian County, IL",2018,17021.0,57,391,1,4,88.92279973998002,68.13145749085403
93,"Christian County, IL",2019,17021.0,44,254,2,6,86.83792438839006,66.690498261521
94,"Christian County, IL",2020,17021.0,36,228,1,1,87.61800228366278,67.04511067988014
95,"Christian County, IL",2021,17021.0,44,297,3,7,88.79745175493628,68.16361419294027
96,"Christian County, IL",2022,17021.0,37,314,4,25,88.25502725007375,67.30645842547945
97,"Christian County, IL",2023,17021.0,30,249,8,60,87.50805874131657,65.66540027839388
98,"Christian County, IL",2024,17021.0,38,274,2,12,87.64624351310371,66.37559162653196
99,"Clark County, IL",2016,17023.0,54,321,3,7,89.17110035442622,69.0801321843231
100,"Clark County, IL",2017,17023.0,31,173,0,0,86.06414128140827,65.84412869293156
101,"Clark County, IL",2018,17023.0,58,395,1,1,88.82569850576219,68.91188180484562
102,"Clark County, IL",2019,17023.0,42,245,3,8,86.84526730269195,67.30239436755012
103,"Clark County, IL",2020,17023.0,41,231,1,1,87.89242444275723,68.17451916806418
104,"Clark County, IL",2021,17023.0,43,320,3,4,89.09948382977747,69.03746622981097
105,"Clark County, IL",2022,17023.0,34,304,4,27,88.20829859829023,67.89973162643152
106,"Clark County, IL",2023,17023.0,28,225,7,40,87.04654148960681,66.24829493115374
107,"Clark County, IL",2024,17023.0,34,218,1,5,86.78350865563065,65.82855883720934
108,"Clay County, IL",2016,17025.0,62,462,6,20,91.55230747857392,71.06393526007211
109,"Clay County, IL",2017,17025.0,46,267,3,6,88.15058351389034,67.92785036088495
110,"Clay County, IL",2018,17025.0,70,489,2,2,90.29200027455713,70.18556184521755
111,"Clay County, IL",2019,17025.0,57,334,4,9,88.42052307641138,68.81811941270696
112,"Clay County, IL",2020,17025.0,48,296,1,3,89.23844909131144,69.5483660533211
113,"Clay County, IL",2021,17025.0,54,412,2,4,90.5627438787534,70.54327120569232
114,"Clay County, IL",2022,17025.0,43,400,8,35,90.41370504111951,69.43666221336274
115,"Clay County, IL",2023,17025.0,37,301,8,63,89.21037546019893,68.15024855868924
116,"Clay County, IL",2024,17025.0,46,327,2,9,88.94544242413973,67.80168332685122
117,"Clinton County, IL",2016,17027.0,66,512,8,27,92.44336842379768,71.85273200768437
118,"Clinton County, IL",2017,17027.0,48,319,5,9,88.93418715550614,68.5485434108953
119,"Clinton County, IL",2018,17027.0,71,511,2,4,90.6731643732027,70.85393191644275
120,"Clinton County, IL",2019,17027.0,58,379,5,7,88.85829374214593,69.48378193686018
121,"Clinton County, IL",2020,17027.0,46,330,1,2,89.81027001198284,70.22379917568178
122,"Clinton County, IL",2021,17027.0,56,430,4,10,90.85031489415704,70.9851200561173
123,"Clinton County, IL",2022,17027.0,50,458,13,48,91.37396213796617,70.48669491873025
124,"Clinton County, IL",2023,17027.0,43,355,10,74,90.20132937872789,69.10872170676987
125,"Clinton County, IL",2024,17027.0,52,373,4,18,89.96905271026097,69.14116302480977
126,"Coles County, IL",2016,17029.0,50,298,3,7,88.54225585956759,68.55791710907009
127,"Coles County, IL",2017,17029.0,30,165,0,0,86.01089149948405,65.41684660746388
128,"Coles County, IL",2018,17029.0,55,363,1,1,88.27128433550907,68.3113271089286
129,"Coles County, IL",2019,17029.0,39,220,3,8,86.16396334956669,66.65030765935025
130,"Coles County, IL",2020,17029.0,35,195,1,1,87.11163105240529,67.49113602359165
131,"Coles County, IL",2021,17029.0,44,286,3,6,88.52422226630691,68.51375406819008
132,"Coles County, IL",2022,17029.0,33,300,3,21,87.768663066307,67.6301191831694
133,"Coles County, IL",2023,17029.0,28,213,6,36,86.58775894142802,65.5362024617201
134,"Coles County, IL",2024,17029.0,34,211,2,10,86.44606619780266,65.6055211075853
135,"Cook County, IL",2016,17031.0,22,102,0,0,83.05202783341164,66.43859319430452
136,"Cook County, IL",2017,17031.0,8,33,0,0,79.34378179994758,63.28419617371178
137,"Cook County, IL",2018,17031.0,26,153,1,2,81.94760354600147,65.54270650152581
138,"Cook County, IL",2019,17031.0,13,77,2,3,79.9555581001374,63.7855402394076
139,"Cook County, IL",2020,17031.0,16,99,0,0,83.27363006554062,66.19105168064853
140,"Cook County, IL",2021,17031.0,18,88,1,3,83.06166685938554,66.66372951958176
141,"Cook County, IL",2022,17031.0,10,66,0,0,81.31759134062884,65.00530888337491
142,"Cook County, IL",2023,17031.0,12,76,2,16,80.01294715552508,63.47055840770705
143,"Cook County, IL",2024,17031.0,18,85,1,4,82.05975644121054,65.00700821647898
144,"Crawford County, IL",2016,17033.0,57,397,3,8,90.41409374569265,70.02499379645596
145,"Crawford County, IL",2017,17033.0,37,201,2,3,86.89577941031233,66.69488776747708
146,"Crawford County, IL",2018,17033.0,68,445,2,2,89.6663325765732,69.62123210134234
147,"Crawford County, IL",2019,17033.0,47,296,3,6,87.64320691249308,67.93318251722384
148,"Crawford County, IL",2020,17033.0,43,271,1,2,88.88344851744701,69.00920408377483
149,"Crawford County, IL",2021,17033.0,51,370,2,3,89.8690933197087,69.64960173964046
150,"Crawford County, IL",2022,17033.0,35,337,6,32,89.08055845093426,68.41310601732631
151,"Crawford County, IL",2023,17033.0,31,258,7,49,88.0906240305751,67.07105491942288
152,"Crawford County, IL",2024,17033.0,38,255,1,4,87.81851127280625,66.51119141448179
153,"Cumberland County, IL",2016,17035.0,56,353,3,10,89.56431909672509,69.19985136106129
154,"Cumberland County, IL",2017,17035.0,37,197,2,3,86.94636845959869,66.22583280811428
155,"Cumberland County, IL",2018,17035.0,64,415,1,1,89.16576087923342,68.95323596635167
156,"Cumberland County, IL",2019,17035.0,47,261,3,8,87.03209345508553,67.4579433530959
157,"Cumberland County, IL",2020,17035.0,39,234,1,2,87.98234135485737,68.22566800039354
158,"Cumberland County, IL",2021,17035.0,50,345,3,6,89.51605983289815,69.22144760855967
159,"Cumberland County, IL",2022,17035.0,35,318,4,25,88.62467125094436,67.99478477170587
160,"Cumberland County, IL",2023,17035.0,30,240,8,46,87.55666899003832,66.47355908206755
161,"Cumberland County, IL",2024,17035.0,36,241,2,9,87.22572312833388,66.10422723299095
162,"Dekalb County, IL",2016,17037.0,22,131,2,6,84.30751319581827,64.78840470150718
163,"Dekalb County, IL",2017,17037.0,14,74,0,0,80.85981068676281,61.455384255357835
164,"Dekalb County, IL",2018,17037.0,32,198,2,9,84.11803659473517,64.38249901793485
165,"Dekalb County, IL",2019,17037.0,22,140,2,6,83.26865204978196,63.34184303807231
166,"Dekalb County, IL",2020,17037.0,24,150,0,0,85.46357688743066,64.64602006992344
167,"Dekalb County, IL",2021,17037.0,30,162,1,4,85.84078438160658,65.81756334242378
168,"Dekalb County, IL",2022,17037.0,18,122,2,5,83.35766006860727,63.54912081822383
169,"Dekalb County, IL",2023,17037.0,14,106,3,23,83.2372679743249,62.447030039670935
170,"Dekalb County, IL",2024,17037.0,23,132,2,8,83.47341450207621,63.61067874083938
171,"Dewitt County, IL",2016,17039.0,42,268,3,11,88.11027229835696,67.72760932131253
172,"Dewitt County, IL",2017,17039.0,36,176,2,2,85.65740351234986,64.65317075654117
173,"Dewitt County, IL",2018,17039.0,48,332,2,4,87.43914456166924,67.01037243942802
174,"Dewitt County, IL",2019,17039.0,31,204,3,11,85.86428009224599,65.63696636209855
175,"Dewitt County, IL",2020,17039.0,30,195,0,0,87.13489812494754,66.84619337138976
