,State Name,county Name,Year,Month,State Code,County Code,Avg AQI,Category,Min AQI,Max AQI,Days with AQI >50,Monthly Mode DP (AQI>50),DP as NO2 (AQI>50),DP as Ozone (AQI>50),DP as PM10 (AQI>50),DP as PM2.5 (AQI>50),Days with AQI >100,Monthly Mode DP (AQI>100),DP as NO2 (AQI>100),DP as Ozone (AQI>100),DP as PM10 (AQI>100),DP as PM2.5 (AQI>100)
81,Illinois,Champaign,2016,7,17,19,42.774193548387096,Good,26,59,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
82,Illinois,Champaign,2016,8,17,19,42.61290322580645,Good,18,64,10.0,PM2.5,0.0,1.0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0
83,Illinois,Champaign,2016,9,17,19,41.8,Good,22,93,6.0,Ozone,0.0,3.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
84,Illinois,Champaign,2016,10,17,19,38.903225806451616,Good,23,56,7.0,PM2.5,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
85,Illinois,Champaign,2016,11,17,19,41.266666666666666,Good,14,59,11.0,PM2.5,0.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0
86,Illinois,Champaign,2016,12,17,19,37.87096774193548,Good,14,63,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
87,Illinois,Champaign,2017,1,17,19,46.806451612903224,Good,27,83,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
88,Illinois,Champaign,2017,2,17,19,49.392857142857146,Good,31,75,13.0,PM2.5,0.0,0.0,0.0,13.0,0.0,0,0.0,0.0,0.0,0.0
89,Illinois,Champaign,2017,3,17,19,44.03225806451613,Good,30,68,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
90,Illinois,Champaign,2017,4,17,19,43.166666666666664,Good,28,67,4.0,Ozone,0.0,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
91,Illinois,Champaign,2017,5,17,19,48.54838709677419,Good,35,74,9.0,Ozone,0.0,7.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
92,Illinois,Champaign,2017,6,17,19,56.46666666666667,Moderate,34,105,15.0,Ozone,0.0,14.0,0.0,1.0,1.0,Ozone,0.0,1.0,0.0,0.0
93,Illinois,Champaign,2017,7,17,19,48.67741935483871,Good,34,64,14.0,PM2.5,0.0,4.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
94,Illinois,Champaign,2017,8,17,19,44.354838709677416,Good,27,58,9.0,PM2.5,0.0,1.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
95,Illinois,Champaign,2017,9,17,19,46.8,Good,20,77,13.0,PM2.5,0.0,3.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
96,Illinois,Champaign,2017,10,17,19,37.25806451612903,Good,15,57,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
97,Illinois,Champaign,2017,11,17,19,46.266666666666666,Good,30,67,13.0,PM2.5,0.0,0.0,0.0,13.0,0.0,0,0.0,0.0,0.0,0.0
98,Illinois,Champaign,2017,12,17,19,43.225806451612904,Good,22,71,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
99,Illinois,Champaign,2018,1,17,19,45.83870967741935,Good,27,70,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
100,Illinois,Champaign,2018,2,17,19,45.214285714285715,Good,23,68,11.0,PM2.5,0.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0
101,Illinois,Champaign,2018,3,17,19,43.54838709677419,Good,31,56,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
102,Illinois,Champaign,2018,4,17,19,46.86666666666667,Good,35,64,8.0,Ozone,0.0,4.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
103,Illinois,Champaign,2018,5,17,19,68.54838709677419,Moderate,37,112,25.0,Ozone,0.0,19.0,0.0,6.0,3.0,Ozone,0.0,3.0,0.0,0.0
104,Illinois,Champaign,2018,6,17,19,52.7,Moderate,33,105,11.0,Ozone,0.0,7.0,0.0,4.0,1.0,Ozone,0.0,1.0,0.0,0.0
105,Illinois,Champaign,2018,7,17,19,47.096774193548384,Good,30,80,12.0,PM2.5,0.0,2.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
106,Illinois,Champaign,2018,8,17,19,55.064516129032256,Moderate,32,74,26.0,PM2.5,0.0,1.0,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0
107,Illinois,Champaign,2018,9,17,19,40.03333333333333,Good,23,58,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
108,Illinois,Champaign,2018,10,17,19,36.74193548387097,Good,20,56,4.0,PM2.5,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
109,Illinois,Champaign,2018,11,17,19,45.93333333333333,Good,19,73,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
110,Illinois,Champaign,2018,12,17,19,48.225806451612904,Good,24,83,19.0,PM2.5,0.0,0.0,0.0,19.0,0.0,0,0.0,0.0,0.0,0.0
111,Illinois,Champaign,2019,1,17,19,47.225806451612904,Good,27,73,16.0,PM2.5,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0
112,Illinois,Champaign,2019,2,17,19,51.75,Moderate,31,76,18.0,PM2.5,0.0,0.0,0.0,18.0,0.0,0,0.0,0.0,0.0,0.0
113,Illinois,Champaign,2019,3,17,19,49.516129032258064,Good,38,69,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
114,Illinois,Champaign,2019,4,17,19,47.6,Good,30,64,10.0,PM2.5,0.0,4.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
115,Illinois,Champaign,2019,5,17,19,45.87096774193548,Good,26,64,9.0,Ozone,0.0,7.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
116,Illinois,Champaign,2019,6,17,19,54.266666666666666,Moderate,35,87,14.0,Ozone,0.0,11.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
117,Illinois,Champaign,2019,7,17,19,51.935483870967744,Moderate,36,93,15.0,PM2.5,0.0,6.0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0
118,Illinois,Champaign,2019,8,17,19,44.12903225806452,Good,30,71,6.0,Ozone,0.0,5.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
119,Illinois,Champaign,2019,9,17,19,45.1,Good,26,100,11.0,PM2.5,0.0,2.0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0
120,Illinois,Champaign,2019,10,17,19,33.41935483870968,Good,15,53,1.0,PM2.5,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
121,Illinois,Champaign,2019,11,17,19,44.4,Good,22,72,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
122,Illinois,Champaign,2019,12,17,19,49.83870967741935,Good,26,72,16.0,PM2.5,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0
123,Illinois,Champaign,2020,1,17,19,45.54838709677419,Good,25,61,12.0,PM2.5,0.0,0.0,0.0,12.0,0.0,0,0.0,0.0,0.0,0.0
124,Illinois,Champaign,2020,2,17,19,43.96551724137931,Good,24,60,12.0,PM2.5,0.0,0.0,0.0,12.0,0.0,0,0.0,0.0,0.0,0.0
125,Illinois,Champaign,2020,3,17,19,44.516129032258064,Good,26,67,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
126,Illinois,Champaign,2020,4,17,19,46.4,Good,37,66,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
127,Illinois,Champaign,2020,5,17,19,41.32258064516129,Good,28,64,3.0,Ozone,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
128,Illinois,Champaign,2020,6,17,19,59.733333333333334,Moderate,34,108,21.0,Ozone,0.0,17.0,0.0,4.0,1.0,Ozone,0.0,1.0,0.0,0.0
129,Illinois,Champaign,2020,7,17,19,50.12903225806452,Moderate,29,126,8.0,Ozone,0.0,7.0,0.0,1.0,1.0,Ozone,0.0,1.0,0.0,0.0
130,Illinois,Champaign,2020,8,17,19,43.935483870967744,Good,27,64,9.0,PM2.5,0.0,1.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
131,Illinois,Champaign,2020,9,17,19,40.46666666666667,Good,18,58,5.0,PM2.5,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
132,Illinois,Champaign,2020,10,17,19,37.0,Good,19,64,3.0,PM2.5,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
133,Illinois,Champaign,2020,11,17,19,39.833333333333336,Good,23,62,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
134,Illinois,Champaign,2020,12,17,19,50.54838709677419,Moderate,24,76,19.0,PM2.5,0.0,0.0,0.0,19.0,0.0,0,0.0,0.0,0.0,0.0
135,Illinois,Champaign,2021,1,17,19,44.12903225806452,Good,23,65,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
136,Illinois,Champaign,2021,2,17,19,48.214285714285715,Good,28,81,15.0,PM2.5,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0
137,Illinois,Champaign,2021,3,17,19,44.645161290322584,Good,33,69,7.0,PM2.5,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
138,Illinois,Champaign,2021,4,17,19,45.36666666666667,Good,24,90,9.0,PM2.5,0.0,2.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
139,Illinois,Champaign,2021,5,17,19,45.225806451612904,Good,34,61,9.0,PM2.5,0.0,4.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
140,Illinois,Champaign,2021,6,17,19,50.43333333333333,Moderate,24,97,13.0,Ozone,0.0,10.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
141,Illinois,Champaign,2021,7,17,19,54.03225806451613,Moderate,28,99,17.0,PM2.5,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0
142,Illinois,Champaign,2021,8,17,19,50.193548387096776,Moderate,31,85,16.0,PM2.5,0.0,1.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0
143,Illinois,Champaign,2021,9,17,19,46.06666666666667,Good,22,77,11.0,PM2.5,0.0,5.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
144,Illinois,Champaign,2021,10,17,19,35.41935483870968,Good,18,59,4.0,PM2.5,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
145,Illinois,Champaign,2021,11,17,19,39.03333333333333,Good,18,77,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
146,Illinois,Champaign,2021,12,17,19,42.064516129032256,Good,23,66,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
147,Illinois,Champaign,2022,1,17,19,43.645161290322584,Good,28,69,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
148,Illinois,Champaign,2022,2,17,19,43.107142857142854,Good,27,62,11.0,PM2.5,0.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0
149,Illinois,Champaign,2022,3,17,19,43.74193548387097,Good,26,62,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
150,Illinois,Champaign,2022,4,17,19,39.666666666666664,Good,27,56,6.0,PM2.5,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
151,Illinois,Champaign,2022,5,17,19,45.096774193548384,Good,24,77,10.0,Ozone,0.0,6.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
152,Illinois,Champaign,2022,6,17,19,68.66666666666667,Moderate,36,126,23.0,Ozone,0.0,17.0,0.0,6.0,1.0,Ozone,0.0,1.0,0.0,0.0
153,Illinois,Champaign,2022,7,17,19,47.806451612903224,Good,32,67,13.0,PM2.5,0.0,2.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0
154,Illinois,Champaign,2022,8,17,19,41.54838709677419,Good,28,53,5.0,PM2.5,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
155,Illinois,Champaign,2022,9,17,19,41.766666666666666,Good,24,57,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
156,Illinois,Champaign,2022,10,17,19,43.87096774193548,Good,21,61,13.0,PM2.5,0.0,1.0,0.0,12.0,0.0,0,0.0,0.0,0.0,0.0
157,Illinois,Champaign,2022,11,17,19,47.766666666666666,Good,24,65,17.0,PM2.5,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0
158,Illinois,Champaign,2022,12,17,19,48.25806451612903,Good,26,91,16.0,PM2.5,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0
159,Illinois,Champaign,2023,1,17,19,48.096774193548384,Good,27,69,17.0,PM2.5,0.0,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0
160,Illinois,Champaign,2023,2,17,19,42.892857142857146,Good,25,63,10.0,PM2.5,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0
161,Illinois,Champaign,2023,3,17,19,47.193548387096776,Good,31,65,15.0,PM2.5,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0
162,Illinois,Champaign,2023,4,17,19,47.9,Good,31,74,12.0,Ozone,0.0,8.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
163,Illinois,Champaign,2023,5,17,19,66.70967741935483,Moderate,38,136,24.0,Ozone,0.0,20.0,0.0,4.0,3.0,Ozone,0.0,3.0,0.0,0.0
164,Illinois,Champaign,2023,6,17,19,94.96666666666667,Moderate,43,277,27.0,Ozone,0.0,18.0,0.0,9.0,9.0,Ozone,0.0,6.0,0.0,3.0
165,Illinois,Champaign,2023,7,17,19,55.096774193548384,Moderate,37,148,17.0,PM2.5,0.0,1.0,0.0,16.0,1.0,PM2.5,0.0,0.0,0.0,1.0
166,Illinois,Champaign,2023,8,17,19,51.516129032258064,Moderate,30,71,16.0,PM2.5,0.0,1.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0
167,Illinois,Champaign,2023,9,17,19,47.4,Good,32,67,9.0,PM2.5,0.0,3.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
